pypy	name	host	conc	rep	reqs_per_sec	rs.min	rs.mean	rs.std	rs.median	rs.max
True	cyclone	cyclone	4	1	1191.14	1	3	6.0	2	73
True	cyclone	cyclone	4	2	2776.33	1	1	0.7	1	27
True	cyclone	cyclone	4	3	2819.35	1	1	0.8	1	35
True	tornado	tornado	4	1	2163.03	0	2	3.2	1	59
True	tornado	tornado	4	2	3136.03	0	1	0.4	1	22
True	tornado	tornado	4	3	3104.47	1	1	0.2	1	3
True	bottle	twisted	4	1	516.24	1	8	21.9	4	1027
True	bottle	twisted	4	2	1785.47	1	2	1.3	2	40
True	bottle	twisted	4	3	1802.25	1	2	1.1	2	41
True	bottle	tornado	4	1	2058.11	1	2	2.9	1	41
True	bottle	tornado	4	2	3342.59	0	1	0.7	1	31
True	bottle	tornado	4	3	3016.5	1	1	0.7	1	35
True	bottle	paste	4	1	822.39	1	5	6.1	3	71
True	bottle	paste	4	2	1627.4	1	2	2.0	2	75
True	bottle	paste	4	3	1632.8	1	2	2.2	2	68
True	bottle	rocket	4	1	989.7	1	4	4.5	3	54
True	bottle	rocket	4	2	1911.91	1	2	1.4	2	72
True	bottle	rocket	4	3	1874.83	1	2	1.1	2	49
True	flask	tornado	4	1	1438.47	1	3	4.3	1	54
True	flask	tornado	4	2	2110.6	1	2	1.6	1	44
True	flask	tornado	4	3	2083.04	1	2	1.5	1	38
True	cyclone	cyclone	16	1	1478.81	2	11	12.8	5	114
True	cyclone	cyclone	16	2	3705.79	3	4	1.7	4	28
True	cyclone	cyclone	16	3	3723.46	2	4	1.7	4	28
True	tornado	tornado	16	1	2187.0	3	7	7.4	4	68
True	tornado	tornado	16	2	3276.68	1	5	1.1	5	26
True	tornado	tornado	16	3	2954.03	1	5	1.0	5	26
True	bottle	twisted	16	1	555.16	3	29	46.9	18	1058
True	bottle	twisted	16	2	1908.15	2	8	3.3	8	57
True	bottle	twisted	16	3	1935.28	3	8	2.9	8	48
True	bottle	tornado	16	1	2153.38	2	7	7.3	5	62
True	bottle	tornado	16	2	3167.08	1	5	1.6	5	39
True	bottle	tornado	16	3	3396.22	2	5	2.8	5	46
True	bottle	paste	16	1	807.98	2	19	106.0	6	3030
True	bottle	paste	16	2	1540.1	2	10	72.8	5	3013
True	bottle	paste	16	3	1504.41	2	10	68.1	5	1407
True	bottle	rocket	16	1	948.53	6	17	11.7	12	77
True	bottle	rocket	16	2	1718.99	4	9	2.8	9	61
True	bottle	rocket	16	3	1737.05	3	9	3.5	9	84
True	flask	tornado	16	1	1598.49	5	10	9.0	6	89
True	flask	tornado	16	2	2346.92	1	7	3.6	6	39
True	flask	tornado	16	3	2386.67	1	7	3.8	6	62
True	cyclone	cyclone	64	1	1444.75	11	44	54.4	21	1188
True	cyclone	cyclone	64	2	3498.68	10	18	6.3	16	44
True	cyclone	cyclone	64	3	3628.21	9	17	5.7	16	44
True	tornado	tornado	64	1	2264.29	10	28	22.5	18	121
True	tornado	tornado	64	2	3010.45	2	21	4.0	22	44
True	tornado	tornado	64	3	3010.62	2	21	3.2	22	43
True	bottle	twisted	64	1	595.66	18	107	129.9	75	1470
True	bottle	twisted	64	2	1824.14	15	35	10.3	33	220
True	bottle	twisted	64	3	1921.79	8	33	8.1	33	242
True	bottle	tornado	64	1	2079.05	10	31	19.7	22	127
True	bottle	tornado	64	2	2985.21	4	21	4.0	22	50
True	bottle	tornado	64	3	2995.71	1	21	4.3	22	60
True	bottle	paste	64	1						
True	bottle	paste	64	2						
True	bottle	paste	64	3	1414.16	1	30	203.1	5	3222
True	bottle	rocket	64	1	941.1	18	68	39.1	53	194
True	bottle	rocket	64	2	1713.17	15	37	4.8	37	81
True	bottle	rocket	64	3	1769.73	11	36	4.3	35	75
True	flask	tornado	64	1	1493.5	8	43	24.5	35	146
True	flask	tornado	64	2	2545.93	8	25	5.4	23	53
True	flask	tornado	64	3	2472.1	2	26	6.0	23	53
True	cyclone	cyclone	256	1	1444.94	26	159	367.3	62	3652
True	cyclone	cyclone	256	2	2470.45	25	93	253.6	54	3279
True	cyclone	cyclone	256	3	3104.55	37	81	114.4	69	1292
True	tornado	tornado	256	1	1924.81	16	111	283.0	46	3112
True	tornado	tornado	256	2	2914.97	27	75	215.5	45	3064
True	tornado	tornado	256	3	2960.4	13	77	248.0	45	3288
True	bottle	twisted	256	1						
True	bottle	twisted	256	2						
True	bottle	twisted	256	3	1214.68	6	198	655.3	56	7288
True	bottle	tornado	256	1	2360.05	20	95	212.1	39	3034
True	bottle	tornado	256	2	3833.04	21	52	132.5	29	1237
True	bottle	tornado	256	3	3349.52	22	52	116.7	39	1065
True	bottle	paste	256	1						
True	bottle	paste	256	2	1264.86	2	132	548.7	5	7620
True	bottle	paste	256	3	492.98	1	250	1781.6	5	20145
True	bottle	rocket	256	1	951.15	34	248	506.0	116	7524
True	bottle	rocket	256	2	1702.03	25	136	293.1	77	4544
True	bottle	rocket	256	3	1723.64	26	127	275.3	75	4347
True	flask	tornado	256	1	1365.89	20	172	352.3	80	3148
True	flask	tornado	256	2	1969.45	47	100	262.7	55	3354
True	flask	tornado	256	3	2253.38	35	101	271.9	54	3134
